video_id,sentiment_score
kTlv5_Bs8aw,0.0
LgmxMuW6Fsc,0.5
RK_B4Ez4_5Q,-0.05681818181818182
AcoALQl7jfA,0.13636363636363635
kn4kBibdlWA,0.0
uUvgMnzplt4,0.13636363636363635
IumYMCllMsM,0.7000000000000001
hGoQ44SfV-c,0.0
UiWGp8dFr5k,-0.3875
_r9GPgvN8As,0.0
yTyLXFAIfOI,0.0
PE7ZhHirBFk,0.0
VdugkldCx10,0.25
9vlKOFd73XM,0.0
wFEAoF7RC7Y,-0.4
MfLcjWq6m9o,0.0
RO41_2cWSXA,0.0
QY83PJXQYXc,-0.45
QME3eyBXqpU,-0.4
yef_HfQoBd8,-0.16666666666666666
JANApS0P4z8,-0.5
CzCfd0eaWoA,0.05
nGv8FK28g4s,0.0
AxWxJNHoLC8,0.0
qKh7JdoPZz4,0.0
dHDn26UX4aw,-0.05000000000000001
gwrfwx1QcDQ,0.0
hXzcIoq2ing,0.08333333333333334
U22EEAK_VLc,0.0
VQdKe6_3PAU,0.875
jLZuaFZWa7A,0.0
xArN1yUcXXc,-0.25
4sXyLTk0IAQ,0.25
aobdrJr6UaE,-0.16666666666666666
AFZZNlog8sA,0.0
07bTt0BTi-U,0.3125
uO_8d1t5Xh4,1.0
tj3EKWwIulQ,0.0
Ft-cmkjgOlk,0.0
Y8JGfi4MJ8k,0.2
qXivpclxftM,-0.5
wppAQ8uZpfQ,0.0
515lLZS082U,1.0
iA5u80nS1PQ,-0.125
H-kKZujl8CI,-0.05
F1b5ouja_VI,0.0
pmS2oJQ8SIs,0.0
VSJ0STT8JRw,-0.125
sfweKCYOPFc,-0.15
NDBwsMIXlMk,0.35714285714285715
Bzji05zubSc,0.0
f9psILoYmCc,0.5625
_6uvQtccJss,-0.16666666666666666
uPyLIBSVrMw,0.0
t4ZsyO1n-kA,0.5
dpLrlEBFq-0,0.0
VoAzRs3sE70,0.2
VUbsFtLkGN8,0.0
5WUDfviiKRE,0.0
PtNRJvsLHV0,0.43333333333333335
npcqBt_e4k0,0.0
MU29Wqg_BVo,-0.4
6JvRVILczps,0.0
gO_QM9oUcM0,0.0
Xk_Gv89jzas,0.0
THr_seahKUI,0.0
uZ1M3DkKCEI,0.0
5qxqo2CQakA,0.0
UVaeRX9LybU,0.0
NKin_i1pcFA,0.5
QzfnWcHhdyQ,-0.4
UqItlHUSN-4,0.0
f3uZxD39awA,0.0
2mrOcJNPxEc,0.0
GBhrvR838Ag,0.0
w2A8q3XIhu0,-0.4
2fGXDFiFBhg,0.0
LQicq60aJaw,0.35
o7OwzKm8aa0,0.0
sOIBkZsGb0A,0.0
QssLKnUk6pg,0.25
lOT0GOyw2pY,0.0
d-NCySETRIc,-0.16666666666666666
m7CtnR47w20,0.0
KrxDhokzEv4,0.0
IOuFE-6Awos,0.0
X26e3rK5SSM,0.0
bkwLxcfcKTY,0.0
XAzqBDFs418,0.0
AV5TOlGFHk0,0.3983766233766234
RQOgG4MLh1I,0.5681818181818181
aQzai9oXb-g,0.0
VKW64fQwzRc,0.15
SCR1KeLDZxw,0.0
Ort8rZdpoXo,-0.2
8pffcngJJq0,0.0
dHDn26UX4aw,-0.1625
f0H4h0sfZIU,0.0
wgiW1uFZYr8,0.5
2UPIKvHp_m8,0.0
2nshBD9EbxE,0.0
zbV1zyg_4qU,0.0
JcC5VGOx8I8,0.25
ir8UofAKNCM,0.0
gm5P74vcB84,-0.5
ilaSwO2fx40,0.0
qgGooEyeNNc,0.0
Wiq7z_HS5DY,0.0
lR-oJvKJyUY,-0.04999999999999999
Dkut3XLIVrI,0.0
feDs1pIhTFQ,0.0
EJ-4nFz5hjU,0.0
Z9cB0TjfIkM,0.6
a8gzChJsvEo,-0.3333333333333333
ykHeGtN4m94,0.25
YL9sNrOlK-I,-0.8
lb0Ymam2Za0,0.0
wa9ZyarpM2U,0.25
pJ96Z2PPKI8,0.0
ljEjBIZ2qCQ,0.0
3XklsSF53pc,0.0
LeWtF5y9-6Q,0.15000000000000002
NqntFonA2iY,-0.15
nVrkQyLS4oE,0.0
jtVz0qxQM_U,0.0
LqF3QRp3VCE,0.0
d8GHT9nK66Y,0.0
QgaYsdnOMiM,0.0
-1yT-K3c6YI,0.0
exYLX9xGoyo,0.3333333333333333
0WPYpeJA__U,-0.8
xe8Id7pDNOM,0.0
4FgV0yBZG6E,0.0
3MA_64gyaA0,0.3833333333333333
pDi7cezk9CA,0.0
BOQ-wZQhZZo,0.0
JbQ4MwDdxSU,-0.4
UXm1xHECZu0,0.0
aliDVYH08pg,0.0
q9bGAAYR2MY,0.0
e5IRkF20JmU,0.0
ngMbosIcDRo,0.5
al0lGtRpO5M,0.0
Wzvr_rtI82w,0.0
8rWuGBPA7bE,-0.2
6tiphMs-dCY,0.0
WLagbArQsuE,0.13636363636363635
4iN6uiOsCr0,0.0
S2Cq_TpNXoQ,0.0
Fjm81OPZbpU,0.0
VXFQWu55vO8,0.0
w_b63zETbSs,0.3181818181818182
hkFYWyy9Jek,0.6
OScBxa6FpCk,0.0
hYip_Vuv8J0,0.0
sw7RElt-SvE,0.35
yF_EbNjQq3E,0.0
oBVr0nUC5AA,0.0
2omJBSQcm5g,0.5
lQ9EpoaNQRc,0.25
jmqRuQGdhLs,0.0
_feQprPLL98,0.0
rtJ7JTApIfM,0.0
fRFCXQ3HgdY,0.0
ds3tvjwdmGM,0.0
npCluN5VHF0,0.1
